Самсонов Селиван Викторович,1961-08-03,Котова Жанна Руслановна,1970-10-04,2016-10-17,5
Кононов Милен Юлианович,1976-07-18,Турова Светлана Игоревна,1991-12-21,2020-03-23,5
Максимов Савватий Жоресович,1992-09-13,Михеева Лидия Геннадиевна,1980-11-03,2016-04-24,10
Николаев Ананий Ермолаевич,1982-06-16,Казакова Антонина Яковлевна,1961-02-24,2006-03-17,2
Петухов Вадим Игоревич,1996-03-10,Хохлова Анжелика Павловна,1970-10-15,2020-05-11,6
Силин Фрол Виленович,1965-01-10,Белозерова Алла Леоновна,1997-05-01,2017-11-21,7
Туров Радован Гаврилович,1995-06-20,Яковлева Вера Никифоровна,1980-07-26,2016-04-25,2
Карпов Мариан Власович,1994-05-24,Турова Ангелина Мироновна,1969-09-08,2016-03-20,1
Карпов Фока Александрович,1988-10-03,Большакова Ульяна Аркадьевна,1969-08-06,2011-12-20,8
Казаков Радислав Геннадиевич,1970-02-11,Назарова Глафира Степановна,1981-09-21,2020-07-14,4
Горбачев Кир Афанасьевич,1997-08-12,Капустина Лидия Львовна,1974-03-13,2019-08-24,1
Трофимов Степан Феодосьевич,1997-07-06,Шашкова Алла Георгиевна,1991-08-01,2019-12-17,4
Мясников Леонид Бенедиктович,1979-12-26,Пахомова Лидия Тарасовна,1974-04-16,2020-12-16,5
Орехов Платон Игнатович,1977-10-03,Титова Вероника Вадимовна,1973-02-03,2018-05-16,2
Михеев Валентин Трофимович,1990-02-14,Лебедева Алла Григорьевна,1990-05-14,2013-09-22,2
Самойлов Филимон Яковлевич,1988-12-24,Кулагина Агата Эдуардовна,1995-08-05,2013-10-24,6
Анисимов Добромысл Яковлевич,1970-11-06,Мухина Светлана Ильинична,1960-10-06,2001-01-02,2
Зайцев Будимир Филиппович,1976-05-28,Кондратьева Валерия Викторовна,1997-10-15,2016-08-09,1
Трофимов Светозар Якубович,1980-10-17,Крюкова Ираида Антоновна,1990-08-24,2015-02-15,3
Тимофеев Август Игнатович,1976-07-28,Гришина Акулина Александровна,1970-07-27,2012-08-16,2
Мясников Порфирий Зиновьевич,1998-10-23,Евсеева Ирина Анатольевна,1991-03-26,2018-05-25,2
Владимиров Натан Игнатович,1988-08-24,Шашкова Мария Юльевна,1990-01-06,2015-07-08,7
Гусев Мартын Георгиевич,1971-01-09,Тихонова Эмилия Ниловна,1972-11-12,1996-01-15,2
Зиновьев Сильвестр Валерьянович,1967-05-09,Шестакова Антонина Владимировна,1990-01-20,2009-08-26,2
Алексеев Христофор Марсович,1968-08-22,Федорова Ангелина Юрьевна,1976-12-23,2006-11-24,10
Колесников Силантий Валентинович,1964-04-17,Дьячкова Василиса Анатольевна,1976-12-12,2002-12-26,7
Гурьев Валерий Афанасьевич,1974-06-28,Селиверстова Октябрина Антоновна,1986-04-11,2014-02-05,8
Лихачев Автоном Викторович,1963-02-10,Дементьева Агафья Яковлевна,1987-09-16,2008-12-17,5
Молчанов Мстислав Данилович,1965-09-01,Панфилова Ольга Филипповна,1999-07-22,2020-02-23,8
Денисов Захар Захарьевич,1986-10-06,Фролова Эмилия Рудольфовна,1976-07-01,2016-06-10,10
Захаров Вышеслав Артёмович,1991-08-01,Доронина Пелагея Артемовна,1961-03-15,2014-09-18,4
Горбачев Анатолий Гертрудович,1982-02-28,Орлова Ульяна Максимовна,1973-10-18,2019-05-06,1
Ширяев Мокей Тарасович,1989-02-13,Трофимова Татьяна Станиславовна,1989-12-28,2009-06-17,1
Самойлов Юлий Евстигнеевич,1978-01-04,Ковалева Синклитикия Аскольдовна,1965-08-17,2017-09-15,3
Ильин Панфил Иларионович,1981-04-18,Бирюкова Виктория Анатольевна,1993-08-19,2017-11-07,3
Рыбаков Елизар Эдуардович,2000-01-24,Соколова Алла Никифоровна,1985-08-20,2019-04-25,5
Сергеев Кондратий Валерианович,1968-07-06,Савельева Агата Федоровна,1966-02-27,2015-06-20,8
Колобов Карп Терентьевич,1985-06-06,Капустина Валерия Ильинична,1967-05-13,2019-10-19,4
Кондратьев Назар Виленович,1996-07-17,Боброва Раиса Федоровна,1994-09-27,2017-02-05,3
Филиппов Самуил Игоревич,1996-03-21,Галкина Алина Робертовна,1962-12-16,2016-01-04,8
Беляев Антонин Ильясович,1980-01-02,Сазонова Ия Антоновна,1973-02-21,2020-10-01,4
Ефремов Милован Димитриевич,1982-05-23,Григорьева Ксения Вадимовна,1961-10-27,2016-02-27,4
Тарасов Михей Анисимович,1969-02-18,Чернова Елена Вячеславовна,1990-12-11,2008-11-27,7
Беляев Гремислав Андреевич,1992-02-09,Васильева Евфросиния Владиславовна,1985-07-07,2010-09-26,7
Мамонтов Сергей Антипович,1960-04-21,Дьячкова Октябрина Валентиновна,1963-06-16,1986-01-20,10
Доронин Александр Гертрудович,1992-12-20,Лазарева Иванна Васильевна,1975-07-01,2012-09-01,1
Вишняков Любим Федосьевич,1982-02-05,Доронина Лидия Геннадиевна,1991-10-11,2014-03-14,4
Бирюков Мстислав Чеславович,1980-12-04,Ильина Людмила Харитоновна,1971-02-24,2014-09-14,2
Архипов Климент Юльевич,1986-04-10,Егорова Надежда Ефимовна,1968-07-15,2007-07-24,7
Мясников Боян Юлианович,1980-11-02,Устинова Зинаида Львовна,1988-12-13,2014-06-02,3
Котов Вадим Исидорович,1994-02-27,Тетерина Мария Аркадьевна,1969-04-25,2015-08-18,2
Фокин Радим Георгиевич,1992-09-26,Дементьева Ульяна Святославовна,1991-04-17,2010-05-05,1
Крылов Владислав Всеволодович,1988-01-15,Брагина Лора Федоровна,1978-11-25,2020-09-12,10
Кулагин Болеслав Глебович,1977-12-20,Юдина Евфросиния Натановна,1966-09-23,2007-08-15,7
Денисов Агафон Демьянович,1983-07-19,Лихачева Надежда Ефимовна,1982-12-24,2003-12-18,2
Власов Всемил Фёдорович,1997-09-14,Маркова Акулина Рудольфовна,1991-07-20,2016-02-19,1
Воронов Всеслав Арсеньевич,2000-09-15,Жукова Мария Игоревна,1974-03-06,2019-09-27,10
Панов Антонин Иларионович,1969-08-10,Сергеева Юлия Вадимовна,1986-11-04,2015-04-21,7
Корнилов Арефий Фомич,1981-02-23,Котова Милица Николаевна,1982-10-20,2020-06-27,7
Терентьев Сократ Валентинович,1970-07-23,Зиновьева Ульяна Архиповна,1968-04-18,2013-02-12,10
Хохлов Афиноген Артурович,1974-04-04,Мамонтова Синклитикия Оскаровна,1981-08-17,2000-03-26,9
Абрамов Кирилл Викторович,1961-11-05,Цветкова Феврония Макаровна,1998-10-08,2018-03-27,10
Лазарев Касьян Евстигнеевич,1982-07-06,Шестакова Агафья Тимофеевна,1982-07-26,2014-05-02,1
Калашников Гостомысл Виленович,1969-12-24,Степанова Антонина Евгеньевна,1979-06-10,2004-10-06,1
Прохоров Сила Яковлевич,1987-04-02,Андреева Раиса Эдуардовна,1999-06-09,2020-07-12,7
Быков Чеслав Иосипович,1975-08-16,Беляева Ирина Сергеевна,1962-04-22,2005-07-15,3
Шаров Павел Григорьевич,1961-12-03,Громова Нонна Владиславовна,1982-08-12,2006-09-19,9
Агафонов Исай Феликсович,1960-03-03,Лукина Анжела Леоновна,1979-11-25,2019-10-07,5
Васильев Ростислав Анатольевич,1992-05-07,Колобова Елена Никифоровна,1997-08-13,2020-11-10,1
Кудрявцев Никандр Иларионович,1962-03-23,Муравьева Иванна Максимовна,1985-03-18,2017-04-15,3
Русаков Мстислав Иларионович,1987-08-22,Константинова Антонина Егоровна,1976-09-08,2011-01-02,3
Васильев Святослав Валерианович,1990-02-10,Николаева Алина Вениаминовна,1972-05-13,2009-05-15,7
Ермаков Нифонт Жанович,1998-10-16,Ермакова Валерия Руслановна,1962-01-16,2017-06-01,6
Громов Мартын Евсеевич,1992-01-08,Титова Анжелика Филипповна,1978-03-28,2013-10-10,10
Белоусов Тит Филатович,1976-03-01,Беспалова Раиса Эльдаровна,1975-04-21,2002-03-07,6
Ефремов Ираклий Витальевич,1969-05-25,Прохорова Надежда Андреевна,1982-05-07,2014-03-07,1
