Доронин Филарет Ермилович,1963-02-05,Лукина Марина Максимовна,1986-01-12,2009-10-06,6
Гущин Корнил Артурович,1993-11-26,Аксенова Алла Сергеевна,1977-03-26,2017-08-07,7
Фадеев Андрон Владиславович,1962-08-19,Елисеева Полина Кузьминична,1991-10-23,2009-12-17,1
Пахомов Моисей Фролович,1970-11-02,Дементьева Милица Егоровна,2000-01-11,2020-05-14,1
Большаков Аполлинарий Вилорович,1982-09-01,Кудрявцева Прасковья Александровна,1970-09-13,2013-09-25,1
Дроздов Викентий Филимонович,1979-11-22,Наумова Евфросиния Вячеславовна,2000-04-17,2019-03-10,1
Тимофеев Евгений Ермилович,1989-02-18,Жукова Вероника Викторовна,1967-10-02,2010-03-16,9
Антонов Матвей Викторович,1967-11-08,Игнатьева Наина Георгиевна,1969-09-17,1987-01-21,2
Жданов Якуб Зиновьевич,1983-10-27,Колесникова Анна Богдановна,1986-03-14,2018-08-03,4
Носов Родион Измаилович,1974-06-17,Гришина Маргарита Харитоновна,1985-01-16,2019-08-09,6
Зимин Елизар Игнатьевич,1969-12-06,Харитонова Зинаида Никифоровна,1991-05-08,2009-05-26,3
Герасимов Аристарх Фадеевич,1983-02-28,Данилова Маргарита Юрьевна,1974-08-21,2015-09-19,8
Степанов Леон Яковлевич,1971-02-04,Горшкова Людмила Егоровна,2000-08-09,2020-03-08,2
Рогов Афиноген Ермилович,1984-03-25,Куликова Элеонора Леонидовна,1990-05-18,2020-01-07,6
Никонов Филарет Эдгарович,1971-08-28,Мясникова Любовь Болеславовна,1963-09-19,1989-04-02,2
Уваров Николай Егорович,1981-06-14,Сорокина Алевтина Евгеньевна,1983-07-21,2008-05-07,3
Юдин Мокей Богданович,1970-09-06,Суворова Пелагея Богдановна,1986-04-03,2011-03-05,10
Лобанов Амос Терентьевич,1965-04-12,Шарапова Олимпиада Леонидовна,1985-08-12,2019-09-25,6
Шарапов Милен Демидович,1975-07-28,Егорова Анжелика Оскаровна,1986-07-04,2015-12-26,2
Лебедев Ярослав Ефстафьевич,1971-11-10,Белова Мария Степановна,1982-02-17,2010-04-08,2
Емельянов Юлиан Филатович,1975-07-24,Лыткина Марина Олеговна,1994-08-21,2014-03-19,3
Савин Андрей Давидович,1983-07-08,Мишина Октябрина Тимуровна,1981-11-22,2009-02-22,1
Мясников Василий Терентьевич,1962-06-03,Калинина Валентина Игоревна,1979-10-16,2016-05-09,4
Корнилов Виталий Арсенович,1965-10-14,Самсонова Полина Васильевна,1990-12-04,2018-07-08,7
Сазонов Онуфрий Георгиевич,1987-03-07,Кошелева Зоя Антоновна,1961-02-12,2016-12-27,5
Афанасьев Рубен Афанасьевич,1999-08-14,Самсонова Раиса Львовна,1973-03-16,2020-10-08,3
Журавлев Тит Александрович,1997-12-07,Афанасьева Галина Максимовна,1964-06-28,2016-07-12,10
Веселов Лукьян Фролович,1967-07-11,Колесникова Елена Борисовна,1971-09-13,2014-05-21,4
Соловьев Ипатий Яковлевич,1988-10-09,Виноградова Антонина Степановна,1977-07-19,2013-06-02,1
Александров Леон Артемьевич,1997-07-27,Громова Агата Викторовна,1974-12-25,2018-03-19,4
Владимиров Авксентий Архипович,2000-12-22,Елисеева Алевтина Максимовна,1986-02-19,2018-10-05,9
Копылов Трофим Григорьевич,1974-04-19,Петрова Марфа Николаевна,1961-03-18,2001-06-04,8
Фомин Игнатий Тихонович,1972-09-28,Вишнякова Василиса Степановна,1992-04-06,2017-05-11,4
Панов Аверкий Трофимович,1973-11-04,Калинина Глафира Оскаровна,1984-10-19,2013-12-10,2
Сидоров Харитон Эдгарович,1979-08-25,Молчанова Анжела Ефимовна,1968-01-02,2001-09-19,7
Гришин Савва Жанович,1973-04-15,Колесникова Людмила Вениаминовна,1983-07-11,2002-12-10,4
Казаков Аким Евстигнеевич,1983-09-27,Алексеева Нина Матвеевна,1996-05-20,2020-10-02,7
Щукин Севастьян Артемьевич,1974-03-12,Лыткина Марфа Петровна,2000-01-02,2020-01-20,10
Лебедев Спиридон Игнатьевич,1991-02-27,Горбунова Анжелика Матвеевна,1973-04-08,2015-11-08,7
Михайлов Яков Трофимович,1986-08-05,Меркушева Марфа Григорьевна,1978-03-05,2006-08-05,6
Богданов Савва Елизарович,1979-10-18,Гурьева Анжела Егоровна,1990-08-06,2008-08-15,10
Петухов Евгений Евсеевич,1963-01-22,Дроздова Майя Анатольевна,1971-09-24,2000-03-28,7
Мамонтов Епифан Авдеевич,1999-05-11,Петрова Прасковья Михайловна,1989-09-04,2017-10-17,7
Стрелков Елизар Феликсович,1996-06-21,Горбачева Галина Вячеславовна,1995-01-05,2015-11-02,5
Никонов Пров Гаврилович,1988-07-03,Дроздова Агафья Тимофеевна,1972-07-26,2012-06-20,3
Беляков Изот Егорович,1982-01-27,Архипова Елена Тарасовна,1982-10-14,2003-09-28,7
Титов Адриан Анатольевич,1969-11-01,Рябова Евпраксия Станиславовна,1983-05-02,2003-05-20,9
Виноградов Евлампий Елизарович,1993-02-21,Иванова Оксана Руслановна,1966-02-15,2019-05-20,5
Семенов Лонгин Аксёнович,1988-09-15,Антонова Лариса Ефимовна,1973-09-14,2016-10-24,3
Зыков Амос Ермолаевич,1962-11-05,Исаева Мария Оскаровна,1972-10-27,2014-11-16,2
Капустин Тимофей Ааронович,1984-02-25,Сафонова Марина Натановна,1961-03-14,2008-10-28,1
Антонов Эраст Харитонович,1969-04-13,Тетерина Василиса Львовна,1970-12-26,1998-08-20,5
Рожков Ипат Тихонович,1980-03-05,Гаврилова Елена Тимофеевна,1974-07-16,2013-09-03,8
Стрелков Добромысл Ильич,1981-01-05,Самсонова Евпраксия Олеговна,1979-04-04,2002-08-26,1
