Тимофеев Владислав Артёмович,1980-05-16,Гусева Вероника Валентиновна,1988-05-11,2008-01-16,4
Коновалов Иван Давидович,1991-12-23,Суворова Екатерина Николаевна,1969-07-13,2019-03-10,7
Одинцов Агап Харлампьевич,1984-10-12,Галкина Агафья Болеславовна,1996-07-08,2019-03-13,2
Брагин Фирс Викентьевич,1977-07-28,Гришина Валентина Викторовна,1979-06-23,2016-12-20,6
Колесников Радован Германович,1978-09-22,Шарапова Регина Тимуровна,1991-08-19,2018-12-01,7
Капустин Иван Тихонович,1974-03-19,Пестова Алевтина Михайловна,1976-03-17,1999-12-07,10
Маслов Милен Иосипович,1994-10-24,Харитонова Алла Оскаровна,1961-02-05,2013-10-11,6
Лебедев Елисей Владленович,1973-02-20,Юдина Клавдия Вадимовна,1960-04-03,1996-07-10,2
Маслов Ипатий Васильевич,1973-09-10,Комиссарова Наина Матвеевна,1987-05-01,2019-03-15,5
Стрелков Василий Бенедиктович,1983-11-25,Корнилова Вероника Даниловна,1976-09-10,2019-09-17,8
Зуев Вацлав Вилорович,1973-10-09,Суворова Наина Аскольдовна,1998-10-04,2017-03-01,1
Игнатьев Ратмир Филиппович,1981-02-24,Калашникова Татьяна Ивановна,1966-08-21,2008-12-06,1
Фомин Адриан Ярославович,1960-10-22,Романова Галина Эдуардовна,1991-03-20,2014-01-12,8
Григорьев Евлампий Чеславович,1961-09-23,Соколова Валентина Викторовна,1977-10-13,2010-10-22,2
Логинов Лукьян Тарасович,1986-03-01,Нестерова Нина Ждановна,1984-03-12,2016-07-18,2
Герасимов Нифонт Ефимьевич,1966-05-22,Шубина Василиса Вениаминовна,1981-02-11,2015-10-13,1
Зиновьев Венедикт Яковлевич,1981-06-21,Зыкова Пелагея Владимировна,1980-04-01,2009-01-21,1
Ширяев Исай Викентьевич,1983-06-19,Соболева Василиса Тимофеевна,1987-05-06,2014-02-04,7
Щербаков Матвей Бенедиктович,1982-02-06,Кузьмина Раиса Леонидовна,1992-12-16,2020-10-19,2
Виноградов Елизар Игнатович,1991-03-13,Сидорова Ульяна Ильинична,1977-11-26,2011-01-13,8
Носков Лука Матвеевич,1971-10-05,Прохорова Феврония Валериевна,1977-07-06,1998-01-10,5
Павлов Карп Ерофеевич,1993-07-15,Пономарева Иванна Руслановна,1981-11-04,2011-04-02,7
Воронов Епифан Жанович,1994-11-24,Селиверстова Вера Романовна,1992-03-22,2020-01-11,4
Афанасьев Арсений Валерьянович,1997-05-19,Захарова Глафира Даниловна,1988-05-18,2020-07-12,5
